text,category,urgency,department,cost_kzt,resolution_days,location_district,language
"Сауран көшесінде көлік жаяу жүргіншіні қағып кетті, қолайсзыдық туғызып тұр",traffic_accident,medium,Департамент полиции (ДПС) + Скорая помощь 103,147000,1,Нуринский,kk
"На ул. Кабанбай батыра возле ТЦ «Хан Шатыр» нет дорожного знака, водители путаются, так уже давно",other,medium,"Аппарат акима г. Астаны (e-Otinish, общий отдел)",153000,6,Байконырский,ru
"Нуринский ауданында кәріз ауласын су басты, қашанға дейін шыдау керек. мүмкіндік болса қараңыздар",water_sewage,low,ГКП «Астана су арнасы» (Водоканал),243000,3,Нуринский,kk
"На ул. Сйефуллина откллючили горячую воду на 28 дней, мелочь, но всё же",heating_utilities,low,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,152000,9,Алматинский,ru
"Жанибека и Керея көшесінде лифт 51 күннен бері істемейді, көптен бері осылай. өмірге қауіп бар, шұғыл",elevator,critical,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),528000,3,Сарыаркинский,kk
"аБйконырский ауданында адам есінен танып қалды, жедел жәрдем керек, қолайсыздық туғызып тұр",medical_emergency,medium,Станция скорой медицинской помощи (103),9000,1,Байконырский,kk
"На улице Хусейна Бижанова лифт сломан, пожилым тяжело подниматься, сколько можно терпеть",elevator,high,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),391000,2,Байконырский,ru
"Иманва көшесінде аялдама маңында су құбыры жарылды, су ағып ажтыр. тұрғындарға қатер бар",water_sewage,high,ГКП «Астана су арнасы» (Водоканал),475000,3,Байконырский,kk
"In Есилский district near the clinic broken benches and swings in the park, the whole yard suffes. a minor issue, but still",park_landscaping,low,Управление благоустройства и озеленения,837000,23,Есильский,en
"На улице Достык лифт не работает уже 48 дней, целый вдор страдает. по возможности устраните",elevator,low,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),176000,5,Алматинский,ru
"на ул. алихана бокейхана в одном месте машины стоят на газоне, очень опасный участок",parking_violation,high,Местная полицейская служба / служба эвакуации,13000,1,Байконырский,ru
"In Алматинский district the streetlight is not working, it's dark and scary at night. fix it when possible",streetlight,low,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,79000,4,Алматинский,en
"On Республики street near the hospital no electricity for 75 hours, this is outrageous. emergency situation",power_outage,critical,АО «Астанаэнергосбыт» / городские электросети (АРЭК),745000,1,Байконырский,en
"In Есильский district repeatedly street lamps are out for a week, residents are complaining",streetlight,low,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,73000,3,Есильский,en
"На ул. Жубанова возводят здание вплотную к дам, нарушены нормы. когда будет возможность, посмотрите",illegal_construction,low,Управление архитектуры и градостроительства (ГАСК),239000,31,Нуринский,ru
"In Есильский district the elevator asn't worked for 75 days, it's been like this for a while. it causes inconvenience Thanks for doing nothing, as always.",elevator,medium,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),180000,8,Есильский,en
"On Бейбитшилик street near the school #25 a woamn has chest pain, send an ambulance, please help. this is very dangerous",medical_emergency,critical,Станция скорой медицинской помощи (103),13000,0,Алматинский,en
"в сарыаркинский районе лифт дёргается и останавливается, страшно ездить, мелочь, но всё же",elevator,low,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),110000,7,Сарыаркинский,ru
"На улице Акжол стрельба возле клуба, выстрелы, есть раненые, это уже опасно",crime,high,Департамент полиции г. Астаны (102),98000,14,Нуринский,ru
"in байконырский district near the school #25 a woman has chest pain, send an ambbulance, please help. needs immediate action",medical_emergency,critical,Станция скорой медицинской помощи (103),8000,0,Байконырский,en
"In Есильский district near the kindergarten a woman has chest pain, send an ambulance, the whole yard suffers. urgent, there is a threat to life",medical_emergency,critical,Станция скорой медицинской помощи (103),8000,0,Есильский,en
В Нуринский районе образовалась стихийная свалка. фото прилагаю,garbage,low,Управление благоустройства г. Астаны (Тазалық),38000,4,Нуринский,ru
"в есильский районе застряли в лифте между этажами, мелочь, но всё же",elevator,low,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),62000,3,Есильский,ru
"На улице Республики лопнула труба, ввода заливает подвал, опасно для детей",water_sewage,critical,ГКП «Астана су арнасы» (Водоканал),1343000,3,Есильский,ru
"На улице Хусейна Бижанова деревья не подстрижены, газон зарос, весь район страдает. жителям некомфортно Видимо, это никому не нужно.",park_landscaping,medium,Управление благоустройства и озеленения,486000,34,Сарыаркинский,ru
"В Сарыаркинский районе авария на теплотрассе, в одном месте домов без тепла. жителям некомфортно",heating_utilities,medium,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,392000,7,Сарыаркинский,ru
"On Достык street near the clinic no wheelchair ramp for people with disabilities, no one responds",other,medium,"Аппарат акима г. Астаны (e-Otinish, общий отдел)",59000,12,Сарыаркинский,en
"На улице Хусейна Бижанова обокрали машину, разбили стекло, украли магнитолу, звонили в 109, без толку. это уже опасно",crime,high,Департамент полиции г. Астаны (102),190000,25,Сарыаркинский,ru
"Жанибека и Керея көшесінде аурухана маңында пәтерде газ иісі күшті, 109-ға қоңырау шалдық, нәтиже жоқ. бұл өте қауіпті",gas_leak,critical,Аварийная газовая служба 104 / АО «КазТрансГаз Аймак»,279000,0,Байконырский,kk
"На улице Жубанова возле рынка «Артём» мотоциклист попал в аварию, нужна помощь, ситуация серьёзная, прошу срочно решить",traffic_accident,high,Департамент полиции (ДПС) + Скорая помощь 103,165000,1,Сарыаркинский,ru
"In Алматинский district snow hasn't been cleared for 39 dayys, this s outrageous. please pay attention",snow_ice,medium,Управление благоустройства / Дорожный комитет (очистка снега и наледи),128000,2,Алматинский,en
"На ул. Достык возводят здание вплотную к дам, нарушены нормы. жителям некомфортно",illegal_construction,medium,Управление архитектуры и градостроительства (ГАСК),227000,39,Есильский,ru
"На улице Сарайшык человеку плохо, без сознания, срочно нужна скорая, люди в опасности",medical_emergency,critical,Станция скорой медицинской помощи (103),2000,0,Есильский,ru
"On Акжол street near the hospital everywhere street lamps are out for a week, please take action",streetlight,high,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,174000,2,Алматинский,en
"Байконырский ауданында су құбыры жарылды, бүкіл көше бойындда су ағып жатыр. өмірге қауіп бар, шұғыл",water_sewage,critical,ГКП «Астана су арнасы» (Водоканал),1628000,4,Байконырский,kk
"on иманова street a powre line is down and sparking, this is already dangerous",power_outage,high,АО «Астанаэнергосбыт» / городские электросети (АРЭК),248000,1,Сарыаркинский,en
"На улице Сарайшык утечка газа, пахнет газом, боюсь взрыва, люди в опасности",gas_leak,critical,Аварийная газовая служба 104 / АО «КазТрансГаз Аймак»,110000,0,Есильский,ru
"Сарыаркинский ауданында үнемі қайталанады шаам жанбай тұр, бүкіл аула зардап шегуде",streetlight,high,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,80000,3,Сарыаркинский,kk
"Темно В Алматинский р-не возле детской площадки, освещение не работает. уже произошла авария",streetlight,critical,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,74000,2,Алматинский,ru
"On Туран street near the school #25 neighbours are noisy at night, can't sleep. fix it when possible Apparently nobody cares.",noise,low,Департамент полиции г. Астаны,3000,0,Есильский,en
"стройка в байконырский районе возле городской больницы шумит рано утром, нужно срочно",noise,high,Департамент полиции г. Астаны,4000,1,Байконырский,ru
"Сыганак көшесінде базар маңында ыстық су 24 күнге өшірілді, бұл қауіпті",heating_utilities,high,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,644000,2,Алматинский,kk
"на ул. сарайшык постоянный шум от автомойки, так уже давно",noise,low,Департамент полиции г. Астаны,4000,1,Нуринский,ru
"В Нуринский районе возле детского сада «Балапан» нет пандуса для колясок и инвалидов, соседи подтвердят",other,medium,"Аппарат акима г. Астаны (e-Otinish, общий отдел)",66000,9,Нуринский,ru
"In Сарыаркинский district near the hospital an aggressive dog bit a passr-by, residents are uncomfortable",stray_animals,medium,Управление ветеринарии / отлов безнадзорных животных,51000,10,Сарыаркинский,en
"На улице Жубанова возле рынка «Артём» нет дорожного знака, водители путаются, фото прилагаю",other,medium,"Аппарат акима г. Астаны (e-Otinish, общий отдел)",41000,8,Есильский,ru
"В Сарыаркинский районе нет пандуса для колясок и инвалидов, помогите пожалуйста",other,medium,"Аппарат акима г. Астаны (e-Otinish, общий отдел)",29000,5,Сарыаркинский,ru
"алматинский ауданында №25 мектеп маңында аулада адамды сабап тастады, полиция керек, апат болды",crime,critical,Департамент полиции г. Астаны (102),178000,7,Алматинский,kk
"на улице жанибека и керея столкновение двух автомобилей, движение перекрыто, целый двор страдает. уже произошла авария",traffic_accident,critical,Департамент полиции (ДПС) + Скорая помощь 103,524000,1,Алматинский,ru
"Детская площадка На ул. Жанибека и Керея возле рынка «Артём» в аварийном состоянии, жители жалуются",park_landscaping,medium,Управление благоустройства и озеленения,238000,28,Есильский,ru
"Абая кшөесінде аялдама маңында көшеде адамды тонап, телефонын алып қашты, назар ауарыңыздар",crime,medium,Департамент полиции г. Астаны (102),77000,32,Сарыаркинский,kk
"автобус №73 в сарыаркинсский районе возле детского сада «балапан» не ходит по расписанию, акимат бездействует. это уже опасно",public_transport,high,Управление пассажирского транспорта,321000,20,Сарыаркинский,ru
"сарыарка көшесінде үйде жылу жоқ, пәтер суық, өтінемін қарастырыңыз. жағдай ауыр, шұғыл шешу керек",heating_utilities,high,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,1197000,3,Нуринский,kk
"In Сарыаркинский district near the playground tw ovehicles collided, the road is blocked, this is already daangerous",traffic_accident,high,Департамент полиции (ДПС) + Скорая помощь 103,192000,2,Сарыаркинский,en
"есильский ауданында көше шамы жанбайды, кешке қараңғы. тұрғындарға қатер бар",streetlight,high,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,133000,3,Есильский,kk
"богенбай батыра көшесінде балалар алаңы маңында көп шам жанбай тұр, 109-ға қоңырау шалдық, нәтиже жоқ",streetlight,low,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,73000,6,Сарыаркинский,kk
"Есильский ауданында балалар алаңы маңында қоқыс контейнеррлері толып кеткен, иісі шыығады. назар аударыңыздар",garbage,medium,Управление благоустройства г. Астаны (Тазалық),47000,3,Есильский,kk
"На ул. Орынбор возле родда в парке сломаны скамейки и качели, уже писали в e-Otinish. по возможности устраните",park_landscaping,low,Управление благоустройства и озеленения,205000,32,Нуринский,ru
"Сарыарка көшесінде балалар алаңы маңында жол бұзылған, бірнеше шұңқыр, көліктер зақымдалуда. бұл өте қауіпті",pothole,critical,Управление пассажирского транспорта и автодорог (Дорожный комитет),256000,6,Есильский,kk
"На улице Туркестн возле остановки заблокировали выезд из двора припарковнаной машиной, не срочно, но раздражает",parking_violation,low,Местная полицейская служба / служба эвакуации,15000,1,Алматинский,ru
"On Иманова street the streetlight is not working, it's dark and scary at night. it causs inconvenience",streetlight,medium,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,68000,4,Есильский,en
"дорожное покрытие в нуринский районе в ужасном состоянии, уже несколько ям. ситуация серьёзная, прошу срочно решить",pothole,high,Управление пассажирского транспорта и автодорог (Дорожный комитет),407000,6,Нуринский,ru
"Иманова көшесінде үйде 84 күн суық су жоқ, қашанға дейін шыдау керек. назар аударыңыздар",water_sewage,medium,ГКП «Астана су арнасы» (Водоканал),772000,4,Сарыаркинский,kk
"On Достык street a building is on fire, smoke, people in danger, this is very dangerous",fire,critical,ДЧС г. Астаны — Пожарная служба (101),1986000,1,Есильский,en
"In Байконырский district near the clinic stray dogs roaming, everywhere, attacking people, we called 109, no result. emergency situation",stray_animals,critical,Управление ветеринарии / отлов безнадзорных животных,93000,5,Байконырский,en
"нуринский ауданында аула шығуын көлікпен бөгеп қойды, назар аударыңыздар",parking_violation,medium,Местная полицейская служба / служба эвакуации,9000,1,Нуринский,kk
"Е10 көшесінде қар 81 күн тазаланбайды, өтуге болмайды, қашанға дейін шыдау керек. шұғыл емес, бірақ мазалайды",snow_ice,low,Управление благоустройства / Дорожный комитет (очистка снега и наледи),173000,2,Нуринский,kk
"на улице хусейна бижанова бегают бездные сбоаки, уже несколько, кидаются на людей, помогите пожалуйста. прошу обратить вниимание Видимо, это никому не нужно.",stray_animals,medium,Управление ветеринарии / отлов безнадзорных животных,44000,12,Байконырский,ru
"Тлендиева көшесінде балалар алаңы маңында үйде жылу жоқ, пәтер суық, тұрғындар шағымдануда. жағдай ауыр, шұғыл шешу керек",heating_utilities,high,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,1661000,2,Есильский,kk
"97-автобус Сейфуллина көшесінде кестемен жүрмейді, қашанға дейін шыдау керек. шұғыл емес, бірақ мазалаййды Бәріне бәрібір сияқты.",public_transport,low,Управление пассажирского транспорта,165000,21,Есильский,kk
"on абая street two vehicles collided, the road is blocked, please pay attention",traffic_accident,medium,Департамент полиции (ДПС) + Скорая помощь 103,96000,2,Есильский,en
"кабанбай батыра көшесінде баазар маңында жолда үллкен шұңқыр бар, назар аударыңыздар",pothole,medium,Управление пассажирского транспорта и автодорог (Дорожный комитет),197000,5,Сарыаркинский,kk
"На ул. Жанибкеа и Керея возле ЖД вокзала атвобусы переполнены,, водители грубят. звонили в 109, без толку",public_transport,low,Управление пассажирского транспорта,55000,16,Алматинский,ru
"Жубано көшесінде аялдама нашар жағдайда, назар аударыңыздар",public_transport,medium,Управление пассажирского транспорта,134000,12,Есильский,kk
"На улице Сыганак стая собак возле шклоы, страшно за детей, когдаа будет возможность, посмотрите Спасибо, что как всегда ничего не делается.",stray_animals,low,Управление ветеринарии / отлов безнадзорных животных,66000,5,Алматинский,ru
"In Есильский distritc no electricity for 69 hours, this is outrageous. fix it when possible",power_outage,low,АО «Астанаэнергосбыт» / городские электросети (АРЭК),556000,1,Есильский,en
"in нуринский district near the clinic broken benches and swings in the park, already filed on e-otinish. it causes inconvenience Thanks for doing nothing, as always.",park_landscaping,medium,Управление благоустройства и озеленения,508000,18,Нуринский,en
"in есильский district near the market a man was beaten in the yard, police needed, residenst are uncomfortable",crime,medium,Департамент полиции г. Астаны (102),21000,20,Есильский,en
"On Жанибека и Керея street the streetlight is not working, it's dark and scary at night. a real threat to residents",streetlight,high,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,99000,2,Сарыаркинский,en
"Жубанова көшесінде жол бұзылған, шұңқыр, көліктер зақымдалуда. назар аударыңыздар",pothole,medium,Управление пассажирского транспорта и автодорог (Дорожный комитет),107000,4,Есильский,kk
"на улице кошкарбаева оборвало линию электропередач, провод искрит, угроза для жителей",power_outage,high,АО «Астанаэнергосбыт» / городские электросети (АРЭК),381000,2,Байконырский,ru
"in сарыаркинский diistrict a power line is down and sparking, please pay attention",power_outage,medium,АО «Астанаэнергосбыт» / городские электросети (АРЭК),164000,1,Сарыаркинский,en
"На улице Кабанбай батыра постоянный шум от автомойки, акимат бездействует",noise,medium,Департамент полиции г. Астаны,2000,1,Есильский,ru
"на улице мангилик ел бездомные животные роются в мусоре, жители жалуются",stray_animals,low,Управление ветеринарии / отлов безнадзорных животных,22000,4,Алматинский,ru
"In Алматинский district a murder happened, a body was found, needs immediate action",crime,critical,Департамент полиции г. Астаны (102),75000,13,Алматинский,en
"Сарыаркинский ауданында №25 мектеп маңында үнемі қайталанады қоқыс шығарылмайды, ешкім әрекет етпейді. қолайсыздық туғызып тұр",garbage,medium,Управление благоустройства г. Астаны (Тазалық),64000,2,Сарыаркинский,kk
"On Сауран street a murder happened, a body was found, not urgent but annoying Apparently nobody cares.",crime,low,Департамент полиции г. Астаны (102),61000,19,Нуринский,en
"На улице Богенбай батыра возле школы №25 драка со стрельбой, человека ранили, нужна полиция, прошу обратить внимание",crime,medium,Департамент полиции г. Астаны (102),17000,11,Сарыаркинский,ru
"Нуринский ауданында балабақша маңында екі көлік соқтығысып, жол бітеліп қалды, бұл өте қауіпті",traffic_accident,critical,Департамент полиции (ДПС) + Скорая помощь 103,548000,1,Нуринский,kk
"в байконырский районе столкновение двух автомобилей, движение перекрыто, видео есть. ситуация серьёзная, прошу срочно решить",traffic_accident,high,Департамент полиции (ДПС) + Скорая помощь 103,225000,1,Байконырский,ru
"on кабанбай батыра street a strong smell of gas in te entrance, no one responds. a eral threat to residents",gas_leak,high,Аварийная газовая служба 104 / АО «КазТрансГаз Аймак»,111000,1,Байконырский,en
"На улице Жанибека и Керея возле детской площадки газовая труб повреждена, идёт газ, требуется немедленно вмешаьтся",gas_leak,critical,Аварийная газовая служба 104 / АО «КазТрансГаз Аймак»,236000,0,Алматинский,ru
"Сарыаркинский ауданында балалар алаңы маңында көгалға көп көлік қойып кеткен, тұрғындарға қатер бар",parking_violation,high,Местная полицейская служба / служба эвакуации,24000,1,Сарыаркинский,kk
"в алматинский районе оборвало линию электропередач, проовод искрит, угроза для жителей",power_outage,high,АО «Астанаэнергосбыт» / городские электросети (АРЭК),166000,1,Алматинский,ru
"Туран көшесінде тротуар мұзға айналды, адамдар құлап жатыр, жағдай ауыр, шұғыл шешу керек",snow_ice,high,Управление благоустройства / Дорожный комитет (очистка снега и наледи),241000,2,Алматинский,kk
"Детская площадка В Нуринский районе в аварийном состоянии, просьба разобраться",park_landscaping,low,Управление благоустройства и озеленения,267000,29,Нуринский,ru
"Алматинский ауданында жолда көк мұз, көліктер тайып барады, назар аударыңыздар",snow_ice,medium,Управление благоустройства / Дорожный комитет (очистка снега и наледи),58000,3,Алматинский,kk
"Алматинский ауданында аялдама нашар жағдайда, назаар аударыңыздар",public_transport,medium,Управление пассажирского транспорта,334000,15,Алматинский,kk
"On Е10 street in one spot street lamps are out for a week, please take action",streetlight,medium,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,62000,3,Нуринский,en
"Динмухамеда Кунаева көшесінде адам есіінен тнаып қалды, жедел жәрдем керек, апат болды",medical_emergency,critical,Станция скорой медицинской помощи (103),8000,0,Байконырский,kk
"On Тлендиева street near the hospital the pipe burst and flooded the whole yard, we called 109, no result. the situation is serious, please fix urgently",water_sewage,high,ГКП «Астана су арнасы» (Водоканал),638000,2,Байконырский,en
"In Есильский dstrict a parked car is blocking the courtyar exit, not urgent but annoying",parking_violation,low,Местная полицейская служба / служба эвакуации,14000,2,Есильский,en
"On Хусейна Бижанова street no electricity for 90 hours, we called 109, no result. this is very dangerous",power_outage,critical,АО «Астанаэнергосбыт» / городские электросети (АРЭК),129000,1,Сарыаркинский,en
"сыганак көшесінде №25 мектеп маңында қоқыс контейнерлері толып кеткен, иісі шығады. тұрғындарға қатер бар",garbage,high,Управление благоустройства г. Астаны (Тазалық),35000,2,Сарыаркинский,kk
"На улице Кошкарбаева ночью ограбили магазин, разбили витрину и вынесли товар, срочно, есть угроза для жизни",crime,critical,Департамент полиции г. Астаны (102),112000,11,Байконырский,ru
"сарыаркинский ауданында аялдама нашар жағдайда, тұрғындарға қатер бар",public_transport,high,Управление пассажирского транспорта,65000,10,Сарыаркинский,kk
"Байконырский ауданында аурухана маңында қаңғыбас иттер жүр,, адамдарға тап беруде, көмектесіңіздерші. тұрғындарға қатер бар",stray_animals,high,Управление ветеринарии / отлов безнадзорных животных,31000,7,Байконырский,kk
