text,category,urgency,department,cost_kzt,resolution_days,location_district,language
"Детская площадка На ул. Жанибека и Керея возле рынка «Артём» в аварийном состоянии, жители жалуются",park_landscaping,medium,Управление благоустройства и озеленения,238000,28,Есильский,ru
"же месяц В Сарыаркинский районе возле остановки огромная выбоина, моожет случиться пожар",pothole,critical,Управление пассажирского транспорта и автодорог (Дорожный комитет),390000,3,Сарыаркинский,ru
"сауран көшесінде аурухана маңында көшеде адамды тонап, телефонын алып қашты, балаларға қауіпті",crime,critical,Департамент полиции г. Астаны (102),84000,8,Сарыаркинский,kk
"Сауран көшесінде лифтте қалып қойдық, қолайсыздық туғызып тұр",elevator,medium,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),152000,3,Алматинский,kk
"In Байконырский district broken benches and swings in the park, please help. it causes inconvenience",park_landscaping,medium,Управление благоустройства и озеленения,559000,16,Байконырский,en
"В Есильский районе возле рынка «Артём» постоянные перебои с электричеством, видео есть",power_outage,high,АО «Астанаэнергосбыт» / городские электросети (АРЭК),609000,1,Есильский,ru
"on акжол street near the playground hot water cut of ffor 31 days, urgent, there is a threat to life",heating_utilities,critical,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,628000,7,Сарыаркинский,en
"broken road on орынбор street near the hospital, in one spot potholes damaging cars. a real threat to residents",pothole,high,Управление пассажирского транспорта и автодорог (Дорожный комитет),199000,8,Есильский,en
"On Иманова street stray dogs roaming,, attaackin gpeople, we called 109, no result. urgent, there is a threat to life",stray_animals,critical,Управление ветеринарии / отлов безнадзорных животных,61000,5,Байконырский,en
"В Есильский р-не машину припарковали на тротуаре, не пройти с коляской, жители жалуются. нужно срочно",parking_violation,high,Местная полицейская служба / служба эвакуации,8000,1,Есильский,ru
"In Алматинский district near the school #25 an open manhole on the sidewalk, one could fall in, it causse incconvenience",other,medium,"Аппарат акима г. Астаны (e-Otinish, общий отдел)",113000,9,Алматинский,en
Байконырский ауданында бүкіл үйде ажрық өшті. мүмкіндік блса қараңыздар,power_outage,low,АО «Астанаэнергосбыт» / городские электросети (АРЭК),201000,1,Байконырский,kk
"Сарыаркинский ауданында лифт бұзылған, қарттарға ауыр, қолайсыздық туғызып тұр",elevator,medium,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),104000,4,Сарыаркинский,kk
"Мангилик Ел көшесінде аялдама маңында тротуар мұзға айналды, адамдар құлап жатыр, қолайсыздық туғызып тұр",snow_ice,medium,Управление благоустройства / Дорожный комитет (очистка снега и наледи),156000,1,Есильский,kk
"в алматинский р-не возле рынка «артём» автобусы переполнены, везде вдоль дороги, водители грубят. обращались уже не раз",public_transport,medium,Управление пассажирского транспорта,469000,20,Алматинский,ru
"Сосульки сввисаю с крыши На улице Акжол возле школы №25, могут упасть на людей, жителям некомфортно",snow_ice,medium,Управление благоустройства / Дорожный комитет (очистка снега и наледи),89000,2,Байконырский,ru
"в нуринский р-не возле перекрёстка бегают бездные собаки,, кидаются на людей, сколько можно терпеть. хотелось бы решить этот вопрос",stray_animals,medium,Управление ветеринарии / отлов безнадзорных животных,24000,4,Нуринский,ru
"на улице хусейна бижанова стая собак возле школы, страшно за детей, не сррочноо, но раздражает",stray_animals,low,Управление ветеринарии / отлов безнадзорных животных,22000,6,Нуринский,ru
"В Байконырский р-не возле поликлиники №4 в одном месте машины стоят на газоне, прошу обратить внимание",parking_violation,medium,Местная полицейская служба / служба эвакуации,11000,1,Байконырский,ru
"сильное задымление на ул. сыганак, пахнет гарью, так уже давно. угроза для жителей",fire,high,ДЧС г. Астаны — Пожарная служба (101),1925000,0,Алматинский,ru
"На улице Алихана Бокейхана бегают бездомыне собаки, в одном месте, кидаются на людей, акимат бездействует. не срочно, но раздражает Видимо, это никому не нужно.",stray_animals,low,Управление ветеринарии / отлов безнадзорных животных,14000,9,Байконырский,ru
"сарыаркинский ауданында кәріз ауласын су басты, бүкіл аула зардап шегуде. өмірге қауіп бар, шұғыл",water_sewage,critical,ГКП «Астана су арнасы» (Водоканал),1225000,2,Сарыаркинский,kk
"В Есильский районе газовая труба повреждена, идёт газ, ситуация чрезвычайная",gas_leak,critical,Аварийная газовая служба 104 / АО «КазТрансГаз Аймак»,113000,0,Есильский,ru
"on туркестан street trees untrimmed, lawn overgrown, in one spot. a minor issue, but still",park_landscaping,low,Управление благоустройства и озеленения,103000,11,Байконырский,en
"Кабанбай батыра көшесінде жол бұзылған, көп шұңқыр, көліктер зақымдалуда. қолайсыздық туғызып тұр",pothole,medium,Управление пассажирского транспорта и автодорог (Дорожный комитет),369000,12,Алматинский,kk
"на улице динмухамеда кунаева возле детского сада «балапан» в одном месте мусор не вывозят, жители жалуются. доставляет неудобства",garbage,medium,Управление благоустройства г. Астаны (Тазалық),24000,3,Алматинский,ru
"На улице Жанибека и Керея незаконно строят объект на земле общего пользования, очень опасный участок",illegal_construction,high,Управление архитектуры и градостроительства (ГАСК),995000,30,Алматинский,ru
"Жанибека и Керея көшесінде аурухана маңында пәтерде газ иісі күшті, 109-ға қоңырау шалдық, нәтиже жоқ. бұл өте қауіпті",gas_leak,critical,Аварийная газовая служба 104 / АО «КазТрансГаз Аймак»,279000,0,Байконырский,kk
"In Алматинский district near the playground two vehicles collided, the road is blocked, residents are uncomfortable",traffic_accident,medium,Департамент полиции (ДПС) + Скорая помощь 103,256000,1,Алматинский,en
"Самострой В Сарыаркинский районе, перекрыли проход, акимат бездействует",illegal_construction,high,Управление архитектуры и градостроительства (ГАСК),797000,26,Сарыаркинский,ru
"in байконырский district near the school #25 a woman has chest pain, send an ambbulance, please help. needs immediate action",medical_emergency,critical,Станция скорой медицинской помощи (103),8000,0,Байконырский,en
"In Алматинский district a pack of dogs near the school, scary for the children, fix it when possible",stray_animals,low,Управление ветеринарии / отлов безнадзорных животных,36000,7,Алматинский,en
"Туран көшесінде подъезде газ иісі шығып тұр, өте қауіпті, апат болды",gas_leak,critical,Аварийная газовая служба 104 / АО «КазТрансГаз Аймак»,92000,1,Сарыаркинский,kk
"в есильский р-не стая собак возле школы, страшно за детей, когда будет возможность, посмотрите Спасибо, что как всегда ничего не делается.",stray_animals,low,Управление ветеринарии / отлов безнадзорных животных,68000,9,Есильский,ru
"на улице сыганак возле поликлиники №4 провал асфальта, колесо пробил, уже писали в e-otinish",pothole,high,Управление пассажирского транспорта и автодорог (Дорожный комитет),480000,10,Нуринский,ru
"на улице кошкарбаева нет электричества уже 43 чассов, никто не реагиурет. ситуация серьёзная, прошу срочно решить",power_outage,high,АО «Астанаэнергосбыт» / городские электросети (АРЭК),184000,1,Байконырский,ru
"Жубанова көшесінде аурухана маңында аула шығуын көлікпен бөгеп қойды, қолайсыздық туғызып тұр Әрине, әдеттегідей ешкім қам жемейді.",parking_violation,medium,Местная полицейская служба / служба эвакуации,4000,1,Алматинский,kk
"в есильский районе паркуются на местах для инвалидов, акимат бездействует",parking_violation,high,Местная полицейская служба / служба эвакуации,7000,1,Есильский,ru
"В Байконырский районе машину припарковали на тротуаре, не пройти с колясой, жители жалуются. доставляет неудобства Ну конечно, всем всё равно.",parking_violation,medium,Местная полицейская служба / служба эвакуации,10000,1,Байконырский,ru
"В Сарыаркинский р-не сильный запах газа в подъезде, так уже давно. нужно срочно",gas_leak,high,Аварийная газовая служба 104 / АО «КазТрансГаз Аймак»,106000,0,Сарыаркинский,ru
"на ул. туран возле жд вокзала прорыв водопроводной трубы, вода течёт. нужно срочно",water_sewage,high,ГКП «Астана су арнасы» (Водоканал),240000,2,Сарыаркинский,ru
"На ул. Акжол загорелся автомобиль, огонь распространяется, может случиться пожар",fire,critical,ДЧС г. Астаны — Пожарная служба (101),1809000,1,Есильский,ru
"На ул. Мангилик Ел канализация затопила двор, видео есть. ситуация серьёзная, прошу срочно решить",water_sewage,high,ГКП «Астана су арнасы» (Водоканал),440000,2,Байконырский,ru
"На улице Абая постоянный шум от автомойки, звонили в 109, без толку",noise,low,Департамент полиции г. Астаны,2000,0,Есильский,ru
"В Есилький районе бегают бездомные собаки, регулярно, кидаются ан людей, так уже давно. мелочь, но всё же",stray_animals,low,Управление ветеринарии / отлов безнадзорных животных,59000,4,Есильский,ru
"На улице Богенбай батыра возле роддома перегорело уличное освещение, ничего не видно ночью. прошу обратить внимание",streetlight,medium,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,70000,3,Нуринский,ru
"Республики көшесінде қоқыс шығарылмайды, ешкім әрекет етпейді. шұғыл емес, бірақ мазалайды",garbage,low,Управление благоустройства г. Астаны (Тазалық),15000,3,Байконырский,kk
"В Байконырский районе возле детской площадки столкновение двух автомобилей, движение перекрыто, видео есть. угроза для жителей",traffic_accident,high,Департамент полиции (ДПС) + Скорая помощь 103,420000,1,Байконырский,ru
"In Байконырский district the traffic light at the crossing is broken, we called 109, no result. not urgent but annoying",other,low,"Аппарат акима г. Астаны (e-Otinish, общий отдел)",60000,15,Байконырский,en
"On Абая street an aggressive dog bit a passer-by, please pay attention Apparently nobody cares.",stray_animals,medium,Управление ветеринарии / отлов безнадзорных животных,37000,6,Байконырский,en
"on туран street trees untrimmed, lawn overgrown, all along the street. this is already dangerous",park_landscaping,high,Управление благоустройства и озеленения,526000,9,Байконырский,en
"байконырксий ауданында №25 мектеп маңында тротуар мұзға айналды, адамдар құлап жатыр, қолайсыздық туғызып тұр Әрине, әдеттегідей ешкім қам жемейді.",snow_ice,medium,Управление благоустройства / Дорожный комитет (очистка снега и наледи),159000,0,Байконырский,kk
"На ул. Кабанбай батыра лифт не работает уже 49 дней, это продолжается неделями. прошу обратить внимание",elevator,medium,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),164000,5,Сарыаркинский,ru
"В Байконырский районе несколько фонарей не горят уже неделю, так уже давно",streetlight,low,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,89000,2,Байконырский,ru
"Машина врезалась в столб В Сарыаркинский районе возле роддома, есть пострадавшие, люди в опасности",traffic_accident,critical,Департамент полиции (ДПС) + Скорая помощь 103,228000,1,Сарыаркинский,ru
"Мангилик Ел көшесінде ортақ жерде заңсыз нысан салынуда, қолайсыздық туғызып тұр",illegal_construction,medium,Управление архитектуры и градостроительства (ГАСК),958000,17,Сарыаркинский,kk
"На улице Республики ребёнок задыхается, помогите, вызовите скорую, опасно для детей",medical_emergency,critical,Станция скорой медицинской помощи (103),16000,0,Есильский,ru
"В Сарыаркинский районе лифт не работает уже 35 дней, просьба рзаобраться. жителям некомфоортно Спасибо, что как всегда ничего не делается.",elevator,medium,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),145000,4,Сарыаркинский,ru
"Сарыаркинский ауданында түнде дүкенді тонап кетті, өтінемін қарастырыңыз. жағдай ауыр, шұғыл шешу керек",crime,high,Департамент полиции г. Астаны (102),77000,20,Сарыаркинский,kk
"Контейнеры В Байонырский р-не переполнены, мусор валяется на земле. не срочно, но раздражает",garbage,low,Управление благоустройства г. Астаны (Тазалық),19000,2,Байконырский,ru
"On Мангилик Ел street a shooting near the club, someone is injured, it causes inconvenience Thanks for doing nothing, as always.",crime,medium,Департамент полиции г. Астаны (102),94000,37,Нуринский,en
"В Нуринский районе лифт дёргается и останавливается, страшно ездить, очень опасный участок",elevator,high,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),187000,2,Нуринский,ru
"В Алматинский районе бездомные животные роются в мусоре, фото прилагаю",stray_animals,medium,Управление ветеринарии / отлов безнадзорных животных,20000,3,Алматинский,ru
"On Сыганак street a woman has hcest pain, send an ambulance, the whole yard suffers. dangerous for children",medical_emergency,critical,Станция скорой медицинской помощи (103),14000,1,Алматинский,en
"сосульки свисают с крыши на улице достык, могут упасть на людей, когда будет возможность, посмотрите",snow_ice,low,Управление благоустройства / Дорожный комитет (очистка снега и наледи),58000,2,Алматинский,ru
"На улице Е10 возле ЖД вокзала прорыв трубы, весь двор затопило водой, так уже давно. это очень опасно",water_sewage,critical,ГКП «Астана су арнасы» (Водоканал),304000,1,Сарыаркинский,ru
"на улице иманова возле тц «хан шатыр» драка со стрельбой, человека ранили, нужна полиция, ситуация чрезвычайная",crime,critical,Департамент полиции г. Астаны (102),125000,19,Сарыаркинский,ru
"На улице Иманова возле школы №25 нет пануса для коляясок и инвалидов, помогите пожалуйста",other,critical,"Аппарат акима г. Астаны (e-Otinish, общий отдел)",125000,10,Нуринский,ru
"Сауран көшесінде көше шамы жаанбайды, кеешке қараңғы. қолайсыздық туғызып тұр",streetlight,medium,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,56000,3,Байконырский,kk
"На улице Орынбор тоключили горячую воду на 58 дней, ситуация серьёзная, прошу срочно решить",heating_utilities,high,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,530000,2,Байконырский,ru
"Сарыарка көшесінде саябақта орындықтар сынған, бүкіл аула зардап шегуде. шұғыл еме,с бірақ мазалайыд",park_landscaping,low,Управление благоустройства и озеленения,197000,31,Байконырский,kk
"в есильский районе незаконно строят объект на земле общего пользования, ситуация серьёзная, прошу срочно решить",illegal_construction,high,Управление архитектуры и градостроительства (ГАСК),2151000,44,Есильский,ru
"on сыганак street near the hospital neighbours are noisy at night, can't sleep. not urgent but annoying",noise,low,Департамент полиции г. Астаны,2000,0,Есильский,en
"in есильский district illegal building on public land, it causes inconvenience",illegal_construction,medium,Управление архитектуры и градостроительства (ГАСК),2400000,36,Есильский,en
"Сарыаркинский ауданында балабақша маңында көлік жаяу жүргіншіні қағып кетті, апат болды",traffic_accident,critical,Департамент полиции (ДПС) + Скорая помощь 103,547000,1,Сарыаркинский,kk
"Сарыарка көшесінде емхана маңында қоқыс шығарылмайды, қашанға дейін шыдау керек. назар аударыңыздар",garbage,medium,Управление благоустройства г. Астаны (Тазалық),47000,1,Нуринский,kk
"На уилце Динмухамеда Куннаева возле поликлиники №4 утечка газа, пахнет газом, боюсь взрыва, очень опасный участок",gas_leak,high,Аварийная газовая служба 104 / АО «КазТрансГаз Аймак»,175000,0,Сарыаркинский,ru
"в есильский районе пожилой мужчина упал на улице, не двигается, срочно, есть угроза для жизни",medical_emergency,critical,Станция скорой медицинской помощи (103),11000,1,Есильский,ru
"на ул. орынбор возле городской больницы машину припарковали на тротуаре, не пройти с коляской, жители жалуются. мелочь, но всё же",parking_violation,low,Местная полицейская служба / служба эвакуации,3000,1,Байконырский,ru
"On Бейбитшилик street the bus stop is in bad condition, no shelter, this is already dangerous",public_transport,high,Управление пассажирского транспорта,110000,9,Сарыаркинский,en
"Сарыаркинский ауданында ортақ жерде заңңсыз нысан салынуда, назар аударыңыздар Бәріне бәрібір сияқты.",illegal_construction,medium,Управление архитектуры и градостроительства (ГАСК),1226000,54,Сарыаркинский,kk
"На улице Акжол соседи шумят по ночам, невозможно спать. когда будет возможность, посмотрите",noise,low,Департамент полиции г. Астаны,2000,1,Есильский,ru
"В Алматинский районе возле рынка «Артём» вандалы разгромили детскую площадку, в одном месте. это продолжается неделями",crime,critical,Департамент полиции г. Астаны (102),87000,7,Алматинский,ru
"Сосульки свисают с крыши На улице Сейфуллина, могут упасть на людей, нужно срочно",snow_ice,high,Управление благоустройства / Дорожный комитет (очистка снега и наледи),122000,1,Сарыаркинский,ru
"на улице е10 плохое благоустройство, дорожки разбиты, хотелось бы решить этот вопрос",park_landscaping,medium,Управление благоустройства и озеленения,591000,26,Сарыаркинский,ru
"On Кабанбай батыра street the streetlight is not working, it's dark and scary at night. it causes inconvenience",streetlight,medium,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,43000,3,Алматинский,en
"сарайшык көшесінде үйде жылу жоқ, пәтер суық, өтінемін қарастырыңыз. назар аударыңыздар",heating_utilities,medium,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,196000,5,Байконырский,kk
"На улице Кабанбай батыра плохое благоустройство, дорожки разбиты, прошу обратить внимание",park_landscaping,medium,Управление благоустройства и озеленения,277000,15,Есильский,ru
"In Сарыаркинский district the bus stop is in bad condition, no shelter, residents are uncomfortable",public_transport,medium,Управление пассажирского транспорта,139000,9,Сарыаркинский,en
"нуринский ауданында рұқсатсыз құрылыс жүргізілуде, шара қолданыңыз. назар аударыңыздар",illegal_construction,medium,Управление архитектуры и градостроительства (ГАСК),1214000,64,Нуринский,kk
"на улице бейбитшилик какой-то мужчина угрожает прхоожим ножом, прошу обратить внимание Спасибо, что как всегда ничего не делается.",crime,medium,Департамент полиции г. Астаны (102),256000,29,Байконырский,ru
В Байконырский районе возле роддома образовалась стихийная свалка. прошу принять меры,garbage,medium,Управление благоустройства г. Астаны (Тазалық),24000,3,Байконырский,ru
"В Байконырский раойне авария на теплотрассе, домов без тепла. это уже опасно",heating_utilities,high,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,691000,5,Байконырский,ru
"На улице Республики возле ЖД вокзала вандалы разгромили детскую площадку, уже несколько. звонили в 109, без толку",crime,high,Департамент полиции г. Астаны (102),158000,13,Нуринский,ru
"в нуринский районе горит здание, дыма, люди в опасности, опасно для детей",fire,critical,ДЧС г. Астаны — Пожарная служба (101),2088000,0,Нуринский,ru
"Акжол көшесінде ыстық су 71 күнге өшірілді, тұрғындарға қатер бар",heating_utilities,high,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,1041000,8,Есильский,kk
"есильский ауданында ағаштар кесілмеген, көгал өсіп кеткен. шұғыл емес, бірақ мазалайды",park_landscaping,low,Управление благоустройства и озеленения,346000,21,Есильский,kk
"Сарыаррка көшесінде №25 мектеп маңында литфте қалып қойдық, қолайсыздық туғызып тұр Бәріне бәрібір сияқты.",elevator,medium,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),425000,5,Байконырский,kk
"байконырский ауданында аурухана маңында саябақта орындықтар сынған, тұрғындар шағымдануда. қолайсыздық туғызып тұр",park_landscaping,medium,Управление благоустройства и озеленения,243000,22,Байконырский,kk
"сыганак көшесінде №25 мектеп маңында қоқыс контейнерлері толып кеткен, иісі шығады. тұрғындарға қатер бар",garbage,high,Управление благоустройства г. Астаны (Тазалық),35000,2,Сарыаркинский,kk
"Мангилик Ел көшесінде балалар алаңы маңында тротуарда люк ашық тұр, қауіпті, қолайсыздық туғызып тұр",other,medium,"Аппарат акима г. Астаны (e-Otinish, общий отдел)",31000,6,Алматинский,kk
"Байконырский ауданында аурухнаа маңында қаңғыбас иттер қоқыс шашып жүр, бүкіл аула зардап шегуде",stray_animals,high,Управление ветеринарии / отлов безнадзорных животных,68000,5,Байконырский,kk
"Нуринский ауданында тротуар мұзға айналды, адамдар құлап ажтыр, мүмкіндік болса қараңыздар",snow_ice,low,Управление благоустройства / Дорожный комитет (очистка снега и наледи),36000,1,Нуринский,kk
"Bus #46 In Нуринский district doesn't follow the schedule, please take action. please pay attention",public_transport,medium,Управление пассажирского транспорта,56000,16,Нуринский,en
"In Алматинский district no heating in the building, it's cold inside, no one responds. not urgent but annoying Thanks for doing nothing, as always.",heating_utilities,low,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,518000,10,Алматинский,en
"In Есильский district an aggressive dog biit a passer-by, fix it when possible Apparently nobody cares.",stray_animals,low,Управление ветеринарии / отлов безнадзорных животных,32000,7,Есильский,en
"На улице Кенесары агрсесивная соабка покусала прохожего, нужно срочно",stray_animals,high,Управление ветеринарии / отлов безнадзорных животных,38000,5,Байконырский,ru
"иманова көшесінде аялдама маңында қоқыс контейнерлері толып кеткен, иісі шығады. мүмкіндік болса қараңыздар",garbage,low,Управление благоустройства г. Астаны (Тазалық),14000,3,Алматинский,kk
"Кенесары көшесіндее көршілер түнде шулайды, ұйықтау мүмкін емес. назар аударыңыздар",noise,medium,Департамент полиции г. Астаны,2000,0,Нуринский,kk
"нуринский ауданында үйде жылу жоқ, пәтер суық, өтінемін қарастырыңыз. қолайсыздық туғызып тұр",heating_utilities,medium,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,875000,5,Нуринский,kk
"На улице Орынбор деревья не подстрижены, газон зарос, в одном месте. жителям некомфортно",park_landscaping,medium,Управление благоустройства и озеленения,58000,12,Есильский,ru
"On Е10 street in one spot street lamps are out for a week, please take action",streetlight,medium,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,62000,3,Нуринский,en
"на ул. туран возле остановки по всей ул. мусор не вывозят, это безобразие. доставляет неудобства",garbage,medium,Управление благоустройства г. Астаны (Тазалық),91000,3,Алматинский,ru
"сарайшык көшесінде үйде жылу жоқ, пәтер суық, бүкіл аула зардап шегуде. мүмкіндік болса қараңыздар Әрине, әдеттегідей ешкім қам жемейді.",heating_utilities,low,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,574000,11,Сарыаркинский,kk
"Бейбитшилик көшесінде балалар алаңы маңында саябақта орындықтар сынған, өтінемін қарастырыңыз. қолайсыздық туғызып тұр",park_landscaping,medium,Управление благоустройства и озеленения,359000,22,Есильский,kk
"On Акжол street trees untrimmed, lawn overgrown, everywhere. dangerous for children",park_landscaping,critical,Управление благоустройства и озеленения,896000,18,Есильский,en
"2-автобус Кенесары көшесінде кестемен жүрмейді, қашанға дейін шыдау керек. назар аударыңыздар",public_transport,medium,Управление пассажирского транспорта,132000,14,Алматинский,kk
Жубанова көшесінде кафеден қатты музыка таңға дейін. суреті бар,noise,low,Департамент полиции г. Астаны,2000,0,Нуринский,kk
"on сыганак street a shop was robbed last night, the window was smashed, please pay attention",crime,medium,Департамент полиции г. Астаны (102),116000,12,Сарыаркинский,en
"On Туркестан street no heating in the building, it's cold inside, it's been like this for a while. fix it when possible",heating_utilities,low,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,451000,3,Сарыаркинский,en
"Сарайшык көшесінде қаңғыбас иттер жүр,, адамдарға тап беруде, өтінемін қарастырыңыз. назар аударыңыздар",stray_animals,medium,Управление ветеринарии / отлов безнадзорных животных,23000,2,Есильский,kk
"on сарыарка street near the hospita lan aggressive dog bit a passer-by, it causes inconvenience",stray_animals,medium,Управление ветеринарии / отлов безнадзорных животных,19000,5,Сарыаркинский,en
"In Байконырский district the gas pipe is damaged, gas is leaking, urgent, there is a threat to life",gas_leak,critical,Аварийная газовая служба 104 / АО «КазТрансГаз Аймак»,128000,0,Байконырский,en
"На ул. Бейбитшилик возле поликлиники №4 оборвало линию электропередач, провод искрит, нужно срочно",power_outage,high,АО «Астанаэнергосбыт» / городские электросети (АРЭК),246000,1,Нуринский,ru
"В Алматинский районе женщине плохо с сердцем, нужна неотложка, фото прилагаю. люди в опасности",medical_emergency,critical,Станция скорой медицинской помощи (103),22000,0,Алматинский,ru
"В Есильский р-не фонарей не горят уже неделю, звонили в 109, без толку",streetlight,low,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,60000,3,Есильский,ru
"Алматинский ауданында баланың жағдайы нашар, жедел жәрдем шақырыңыз, жағдай ауыр, шұғыл шешу керек",medical_emergency,high,Станция скорой медицинской помощи (103),8000,0,Алматинский,kk
"на улице кошкарбаева мотоциклист попал в аварию, нужна помощь, опасно для детей",traffic_accident,critical,Департамент полиции (ДПС) + Скорая помощь 103,337000,0,Нуринский,ru
"На улице Орынбор возле детского сада «Балапан» произошло убийство, нашли тело, жителям некомфортно Видимо, это никому не нужно.",crime,medium,Департамент полиции г. Астаны (102),82000,19,Есильский,ru
"На улице Достык бегают бездомные собаки,, кидаются на людей, никто не реагирует. нужно срочно",stray_animals,high,Управление ветеринарии / отлов безнадзорных животных,60000,5,Сарыаркинский,ru
